m1,m2,a1,a2,DL,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt
5720.95,3274.62,0.998,0.998,98602.07834578703,9.38315,0.24015,0.125181,0.128483,1.73533e-06,1.9114902445391603e-11
354.7,313.143,0.659496,0.832143,161290.43812418304,14.5204,0.0354766,0.102845,0.120414,2.64567e-07,3.4899823056636327e-12
698.698,250.282,0.989354,0.107954,150604.33191387058,13.6569,0.0732106,0.0788706,0.0372582,1.99125e-06,2.5679856701740165e-11
325.119,222.057,0.590479,0.0361298,161209.81302738987,14.5139,0.237453,0.153758,0.0947462,3.60586e-06,4.7558260673543096e-11
324.295,99.0336,0.954911,0.732802,131153.26252070873,12.0738,0.0974703,0.101545,0.0883317,3.60586e-06,4.432405782836294e-11
868.361,542.492,0.981198,0.996951,140603.485064315,12.8449,0.156687,0.153663,0.0989837,1.73533e-06,2.1861035434758843e-11
1709.26,568.297,0.998,0.779572,91444.05621308755,8.78261,0.185021,0.151412,0.0405736,4.13375e-06,4.411860996604895e-11
242.552,219.899,0.865371,0.313038,172414.76452744417,15.4152,0.120443,0.0432238,0.0926961,1.99125e-06,2.6832335006375737e-11
624.868,451.346,0.998,0.997337,76236.34285962099,7.49288,0.125852,0.0756217,0.0797718,1.50239e-06,1.478675736929237e-11
511.192,315.23,0.998,0.998,64735.78622215751,6.50227,0.0417066,0.131868,0.090835,0.000442537,4.024659933681595e-09
595.648,580.35,0.998,0.998,113848.19412577826,10.6508,0.270568,0.132743,0.154662,2.43277e-06,2.837383106349706e-11
16369.9,814.236,0.998,0.998,76212.83691858705,7.49087,0.107733,0.0741149,0.157245,1.73533e-06,1.7076940938595222e-11
415.243,379.205,0.985996,0.981631,88429.71823602088,8.52855,0.173197,0.0829413,0.149343,3.15477e-06,3.318842777734514e-11
881.686,633.59,0.982594,0.962674,135547.0496241493,12.4328,0.2677,0.154299,0.138579,1.28958e-06,1.6038784742652705e-11
451.138,318.815,0.998,0.745762,56788.5633275533,5.80805,0.110983,0.106775,0.116073,8.25661e-05,7.017043848998967e-10
761.846,261.055,0.998,0.987412,172133.19427892356,15.3926,0.271781,0.102827,0.169995,4.76864e-07,6.422501864965399e-12
377.706,328.269,0.948497,0.126566,155644.71856258067,14.0647,0.0756833,0.170351,0.130801,1.13688e-06,1.4823083579822202e-11
27391.8,12183.3,0.998,0.998,51636.6812660162,5.35291,0.100129,0.0579014,0.158029,1.2937e-06,1.043952997061051e-11
932.828,796.032,0.641488,0.998,98575.416592932,9.38092,0.0837715,0.123666,0.173871,8.64289e-06,9.519204756343706e-11
458.082,239.104,0.826909,0.946968,130902.68563976738,12.0533,0.137852,0.00969237,0.128363,5.48814e-06,6.741519346879179e-11
399.271,398.606,0.893016,0.820707,140263.19235016353,12.8172,0.24137,0.0950668,0.1468,3.78443e-05,4.763475719443958e-10
200828.0,164298.0,0.998,0.998,41676.74131338794,4.45898,0.186757,0.130102,0.122574,1.13688e-06,8.09385197769953e-12
449.693,257.149,0.0585347,0.463931,140544.51314494008,12.8401,0.222208,0.110994,0.156788,1.13688e-06,1.431990345921917e-11
596.94,260.023,0.5849,0.997999,76127.00484528225,7.48353,0.168304,0.0434181,0.12763,5.48814e-06,5.397909473333996e-11
1011.14,581.636,0.998,0.998,130668.03101587812,12.0341,0.189701,0.174231,0.0278315,2.76731e-06,3.397117260680752e-11
3584.95,497.012,0.998,0.486925,88427.46717594026,8.52836,0.112238,0.0719656,0.152005,1.13688e-06,1.1959934804936883e-11
67111.6,14042.1,0.998,0.998,58195.735427538224,5.93163,0.0950754,0.114824,0.171936,1.13688e-06,9.78818866399858e-12
678.38,492.914,0.968434,0.998,118020.42815529766,10.9953,0.115065,0.105051,0.029081,1.50239e-06,1.7764416900161984e-11
1428.06,1086.09,0.998,0.998,88173.60269943046,8.50693,0.0436603,0.120419,0.130673,2.43277e-06,2.55607598657857e-11
626.317,539.544,0.983943,0.97402,33907.54829685085,3.7453,0.191479,0.123651,0.121074,1.4155e-05,8.827778605925212e-11
506.242,480.016,0.992043,0.818436,66270.32016363945,6.63534,0.022908,0.131336,0.133768,2.95127e-05,2.7156040514071943e-10
474.869,295.759,0.122392,0.496591,178533.20740351247,15.9057,0.174172,0.050603,0.131451,1.09481e-06,1.4913740540583705e-11
1201.93,1008.41,0.998,0.998,63917.63311089766,6.4312,0.271995,0.139505,0.164795,2.1423e-06,1.9358864769813112e-11
547.748,533.14,0.903077,0.897718,155626.15774073894,14.0632,0.101436,0.138552,0.121259,1.4689e-06,1.9151335543944812e-11
462.178,95.724,0.716831,0.569995,221200.33447444788,19.2985,0.155639,0.0624811,0.0940717,2.64567e-07,3.837562559454827e-12
495.715,396.282,0.782846,0.722213,172359.94315991848,15.4108,0.181623,0.136566,0.110457,1.73533e-06,2.338144689388155e-11
618.671,477.871,0.829887,0.970699,131122.70247710703,12.0713,0.0309761,0.174136,0.16067,1.99125e-06,2.4474855498542306e-11
1335.9,471.093,0.998,0.29622,88274.99886268566,8.51549,0.161725,0.0800828,0.135454,1.4155e-05,1.4879869746567716e-10
476.974,395.896,0.685478,0.935186,121927.9905758304,11.3171,0.315837,0.173098,0.15526,6.35911e-06,7.611361771921016e-11
578.999,319.471,0.861671,0.936742,102048.72955899496,9.67102,0.0355584,0.0728216,0.0875233,3.60586e-06,4.0279894735045054e-11
474.058,430.066,0.440619,0.998,88381.02534322528,8.52444,0.0915331,0.113398,0.103376,6.35911e-06,6.688236740661931e-11
833.53,745.18,0.998,0.995518,91683.49314404017,8.80276,0.135499,0.0509226,0.0955006,1.68415e-05,1.799461096144335e-10
2099.48,731.623,0.998,0.99795,67383.39721437311,6.73168,0.128849,0.0900266,0.0487472,1.68415e-05,1.562481779984763e-10
567.45,497.273,0.926474,0.986823,117855.50064871619,10.9817,0.240478,0.166042,0.0827043,6.35911e-06,7.515109236690868e-11
1284.39,299.6,0.997988,-0.157765,135832.58030069355,12.4561,0.114346,0.148754,0.0803662,7.54396e-07,9.389554681069685e-12
440.312,199.188,0.710659,0.621546,98597.17636482225,9.38274,0.304885,0.160709,0.148259,1.95255e-05,2.1507171136567644e-10
470.464,441.054,0.861199,0.742806,130862.35217040019,12.05,0.200256,0.143517,0.0876153,4.75455e-06,5.839746148663869e-11
567.709,543.565,0.911683,0.820484,135838.70804623628,12.4566,0.107211,0.111499,0.168685,9.16675e-07,1.1409534205153129e-11
645.57,544.355,0.998,0.982045,131123.924868792,12.0714,0.128225,0.105022,0.0359366,1.09481e-06,1.345657559800447e-11
547.91,509.336,0.973762,0.961295,135873.0237919077,12.4594,0.219485,0.121391,0.169252,6.07727e-07,7.564839902542879e-12
410.885,159.591,0.798099,0.998,161496.35461228847,14.537,0.198872,0.144774,0.0563981,4.76864e-07,6.2930586909297456e-12
4758.61,3395.65,0.997268,0.998,85181.52186866372,8.25395,0.0350438,0.0879986,0.121827,1.4689e-06,1.520214436714471e-11
1414.62,353.221,0.998,0.637242,76231.0802788484,7.49243,0.168094,0.150159,0.119657,1.13688e-06,1.1188991713973937e-11
522.601,163.411,0.998,0.998,150727.79312509,13.6669,0.219109,0.143701,0.082531,3.60586e-06,4.651521246218116e-11
483.636,494.81,0.991113,0.94141,76231.66500843127,7.49248,0.255011,0.122922,0.147849,8.64289e-06,8.50622488063191e-11
462.467,251.058,0.651754,0.79891,102147.1678466519,9.67923,0.0456863,0.102472,0.139499,5.48814e-06,6.133015890010242e-11
772.65,606.347,0.996333,-0.101215,135800.71634724352,12.4535,0.0169663,0.129451,0.146014,3.62292e-07,4.508877421407048e-12
583.168,400.628,0.998,0.964005,79065.94692010942,7.73444,0.176819,0.0957666,0.159182,4.45584e-05,4.4597913227070487e-10
852.186,265.423,0.998,0.936653,117996.17300200014,10.9933,0.0756003,0.164231,0.164954,3.60586e-06,4.263275901665257e-11
15969.0,1462.68,0.997779,0.998,10845.713821701742,1.46206,0.303061,0.170429,0.171737,0.000153766,3.6446469276229387e-10
1032.43,556.484,0.998,0.988721,101822.74625756015,9.65217,0.271629,0.137534,0.145553,1.88866e-06,2.1078676865920364e-11
2059.16,676.433,0.998,0.998,105987.71100733467,9.99905,0.176415,0.0581579,0.119306,1.448e-07,1.6422730421935472e-12
2467.75,2387.52,0.997164,0.998,36277.20141842706,3.96479,0.273436,0.140658,0.143838,1.4155e-05,9.231064558895816e-11
738.943,115.819,0.998,0.381283,105916.51826312614,9.99313,0.176278,0.0341437,0.154427,2.40093e-05,2.7223270069525754e-10
826.124,651.729,0.998,0.998,66365.3381456303,6.64357,0.18915,0.0986439,0.109809,2.40093e-05,2.2107811648256954e-10
2293.66,1319.12,0.997921,0.998,98609.73025843895,9.38379,0.0485327,0.0980173,0.145151,4.75455e-06,5.237370486834696e-11
2115.5,289.278,0.998,0.974526,85031.78654547117,8.24127,0.146983,0.141666,0.0957389,4.45584e-05,4.6079208034632473e-10
312.618,316.53,0.934846,0.824439,117871.265013884,10.983,0.209794,0.107979,0.107321,3.15477e-06,3.728452387965987e-11
391.154,368.949,0.997594,0.967393,104789.25009702322,9.89935,0.174682,0.0908504,0.100094,1.99125e-06,2.248196072924981e-11
1941.16,1301.54,0.998,0.998,96226.14989553859,9.18423,0.257901,0.15598,0.109673,1.13688e-06,1.239711348700054e-11
413.419,258.495,0.81204,0.0705506,135793.3632042588,12.4529,0.14014,0.137276,0.137587,1.66585e-06,2.073181303163009e-11
1883.03,331.359,0.998,0.652068,85179.51422550694,8.25378,0.233873,0.157886,0.168977,3.15477e-06,3.2649445400048404e-11
10906.8,741.817,0.997999,0.998,63904.97781106929,6.4301,0.0448824,0.152773,0.163853,1.09481e-06,9.892246814267587e-12
425.903,206.203,0.998,0.998,12803.012578612037,1.6734,0.294471,0.127209,0.169863,4.45584e-05,1.2482517215485328e-10
495.919,459.306,0.928812,0.426195,160936.94838089737,14.4919,0.158605,0.122725,0.0720834,1.28958e-06,1.6999125196151686e-11
156126.0,6029.96,0.998,0.998,32466.995740542807,3.61099,0.0313941,0.147311,0.13993,1.19537e-05,7.238929191331907e-11
123823.0,53113.4,0.998,0.998,24291.547452105995,2.83357,0.177263,0.123965,0.16866,1.66585e-06,8.16987835066665e-12
1399.57,849.04,0.998,0.998,102166.23290912322,9.68082,0.309546,0.171257,0.16926,1.66585e-06,1.861733829905142e-11
255.586,153.748,0.524871,0.946266,150315.4602461838,13.6335,0.19536,0.0991251,0.103345,1.73533e-06,2.2365009236306247e-11
515.053,403.186,0.950317,0.966865,83061.0423661459,8.0742,0.0837657,0.0948682,0.0496648,5.47354e-05,5.601734031597977e-10
5323.4,378.238,0.998,0.52922,69631.52641015418,6.92581,0.166174,0.112899,0.0928987,3.60586e-06,3.3994566455452925e-11
461.592,207.084,0.996135,0.998,111080.09247667206,10.4217,0.116692,0.0884739,0.165288,0.000124521,1.4385656836680316e-09
730.975,633.006,0.688305,0.997996,117951.30197548673,10.9896,0.174389,0.167012,0.0888561,4.13375e-06,4.8867084215197536e-11
161.418,111.65,0.998,0.878266,204949.19292355768,18.0115,0.0542736,0.0533698,0.0798412,4.76864e-07,6.769090545978133e-12
310.286,81.3266,0.855361,0.0591303,211342.17241220825,18.5185,0.0835527,0.0720951,0.060239,1.448e-07,2.0735960043650362e-12
445.881,301.645,0.998,0.465909,91613.85493181417,8.7969,0.166329,0.157877,0.134886,2.40093e-05,2.564487535580475e-10
751.461,411.422,0.99757,0.998,98617.50178204091,9.38444,0.111404,0.14213,0.130032,1.09481e-06,1.2060261233709409e-11
2490.13,248.791,0.998,0.970817,131110.478606367,12.0703,0.0702238,0.133002,0.0945728,1.28958e-06,1.5849957847705264e-11
241.681,242.614,0.652886,0.340034,161268.1109006821,14.5186,0.123373,0.12576,0.0104073,5.48814e-06,7.239244244502425e-11
214.098,92.5057,0.950914,0.566892,172622.8470007081,15.4319,0.251039,0.116221,0.157862,5.48814e-06,7.398135713584292e-11
2337.03,1373.71,0.998,0.998,88429.36280515687,8.52852,0.193991,0.131177,0.068716,1.28958e-06,1.3566459089905979e-11
643.085,399.073,0.998,0.947256,122196.70000338019,11.3392,0.245228,0.16747,0.147457,1.2937e-06,1.5497250580288988e-11
421.455,329.206,0.998,0.464791,78332.71429088626,7.67192,0.0146269,0.0379477,0.0250906,0.000231989,2.3120613146876497e-09
345.833,291.874,0.751293,0.594761,140527.31333546404,12.8387,0.280073,0.162662,0.149456,2.76731e-06,3.4854980068186114e-11
550.536,429.325,0.953232,0.985082,113831.26255527986,10.6494,0.334207,0.173397,0.160817,1.4689e-06,1.7131064493392866e-11
283.818,245.611,0.697101,0.938536,88314.09116117503,8.51879,0.240495,0.110484,0.148839,1.68415e-05,1.770734362373744e-10
533.709,373.953,0.88182,0.898287,73382.94381376644,7.24847,0.273117,0.155762,0.120846,1.19537e-05,1.1556383417780196e-10
770.752,659.525,0.94627,0.970683,51822.68217694898,5.36942,0.178477,0.14647,0.117163,3.15477e-06,2.550843594802346e-11
544.21,463.02,0.998,0.890238,121814.92714319935,11.3078,0.115845,0.0606333,0.123455,2.1423e-06,2.5632831078873606e-11
334.519,282.085,0.817801,0.632045,197804.11239250586,17.4437,0.0391608,0.0485956,0.0541544,1.01415e-05,1.4247965597381549e-10
369.11,279.161,0.960541,0.0970192,90717.87031637579,8.72147,0.13794,0.110541,0.0601969,0.000101946,1.0843466224463477e-09
576.28,461.168,0.998,0.998,102280.6293253793,9.69036,0.0637695,0.119733,0.102954,2.43277e-06,2.720065128805663e-11
225.765,110.601,0.906459,0.880025,113637.77279329023,10.6334,0.282168,0.155113,0.132199,1.95255e-05,2.2756758329207153e-10
737.171,504.674,0.47557,0.527645,85173.60941640814,8.25328,0.190323,0.157051,0.158913,3.60586e-06,3.7316739054995877e-11
1307.48,966.195,0.998,0.998,61460.18416186561,6.2172,0.234035,0.148821,0.112474,7.39799e-06,6.552999012423868e-11
439.092,326.839,0.867021,0.854726,66377.57711920302,6.64463,0.141752,0.145152,0.155015,1.01415e-05,9.33916772389472e-11
522.494,437.18,0.688981,0.613184,161108.1052670493,14.5057,0.105915,0.140333,0.15756,1.50239e-06,1.981120259351295e-11
130.229,89.7491,0.820084,0.459619,197567.80772575157,17.4249,0.0799989,0.122029,0.0654769,1.09481e-06,1.5375773305703335e-11
505.813,610.463,0.998,0.998,156075.37230839377,14.0995,0.0744669,0.0516146,0.125308,1.448e-07,1.8896802196993138e-12
382.59,374.05,0.876105,0.237691,122223.45180523241,11.3414,0.201404,0.152768,0.171467,8.02309e-08,9.611651713925976e-13
263492.0,68225.9,0.996642,0.998,61453.307263450784,6.2166,0.0192545,0.0456396,0.0594732,1.2937e-06,1.1458689730638285e-11
704.81,416.556,0.998,0.998,90112.02224581258,8.67043,0.212448,0.150265,0.117102,1.68415e-05,1.786202937962231e-10
300.826,272.25,0.905887,0.768816,110273.990290697,10.3549,0.205743,0.0997215,0.120781,2.43277e-06,2.802571702918061e-11
384.839,353.08,0.650269,0.408573,61403.45198247203,6.21225,0.301147,0.171346,0.161481,2.40093e-05,2.1256886637957033e-10
810.902,574.511,0.994794,0.998,102960.98553181857,9.74708,0.0902766,0.0357165,0.121711,1.2937e-06,1.4503543622419185e-11
740.653,421.96,0.897874,0.636754,122182.10829805868,11.338,0.0886926,0.0518593,0.0379733,4.13375e-06,4.951605476568074e-11
517.658,358.093,0.997112,0.998,102298.73704446881,9.69187,0.174861,0.154793,0.0801588,1.2937e-06,1.4465815174381343e-11
511.532,319.672,0.61691,0.888741,46205.12104819799,4.86795,0.192364,0.135176,0.129465,0.000649865,4.921604286615052e-09
2085.93,1726.22,0.997797,0.998,102210.71917398152,9.68453,0.131437,0.0239663,0.135958,9.16675e-07,1.0246453150832497e-11
757.757,346.54,0.998,0.861368,79002.8265844217,7.72906,0.149285,0.130656,0.0502764,1.95255e-05,1.95356828103044e-10
226.535,84.1546,0.120389,0.394161,220837.13024102888,19.2698,0.0433692,0.113499,0.100876,9.16675e-07,1.3290361035142486e-11
2125.59,216.288,0.998,-0.197489,57456.652086485774,5.86676,0.298348,0.155927,0.157415,1.01415e-05,8.67271789723037e-11
367.871,233.825,0.921526,0.782541,161490.15204841664,14.5365,0.261517,0.171016,0.119123,1.28958e-06,1.7018062964213084e-11
850.843,566.518,0.997994,0.998,57447.31558200968,5.86594,0.150603,0.137268,0.168461,7.39799e-06,6.326002225409566e-11
568.917,214.566,0.998,0.876474,101851.87604432419,9.6546,0.275262,0.148722,0.166982,0.000153766,1.7163277006598226e-09
459.152,307.665,0.990406,0.968391,79094.22346645448,7.73685,0.223467,0.140029,0.117517,8.64289e-06,8.651967685994092e-11
496.984,503.226,0.799317,0.511433,117796.08257141398,10.9768,0.19569,0.168791,0.153668,3.60586e-06,4.2605443529902035e-11
274.669,135.231,0.792511,0.674741,135776.20598300043,12.4515,0.186314,0.0959474,0.123619,2.76731e-06,3.4438152699467505e-11
1612.79,1199.53,0.998,0.998,123360.8110029778,11.4349,0.243773,0.146754,0.15492,3.62292e-07,4.355165976629943e-12
871.606,805.155,0.998,0.998,105589.22514605241,9.96591,0.140838,0.16727,0.12456,1.95255e-05,2.2112006033857592e-10
550.097,430.069,0.978779,0.981316,102226.54754894675,9.68585,0.127474,0.0867426,0.0830129,4.13375e-06,4.620931996541796e-11
410.813,335.52,0.732522,0.546724,76173.31098613757,7.48749,0.217623,0.165218,0.0804935,2.40093e-05,2.362124273413072e-10
1229.34,559.459,0.998,0.998,88269.19437464597,8.515,0.215013,0.154826,0.115581,1.4155e-05,1.4879445364996437e-10
583.653,762.531,0.998,0.981964,98614.75185256619,9.38421,0.178503,0.159749,0.0260827,6.35911e-06,7.005018947341678e-11
329.294,96.3433,0.504904,0.793423,178571.92058703702,15.9088,0.023932,0.153954,0.14357,1.4689e-06,2.001101531988872e-11
342.247,264.103,0.61561,0.739964,211149.07374472602,18.5032,0.234646,0.157439,0.117106,1.09481e-06,1.5674059718459298e-11
959.845,691.677,0.998,0.9945,76232.01584637468,7.49251,0.242633,0.161502,0.16835,1.88866e-06,1.8587996670020552e-11
319.717,284.848,0.719465,0.218672,159796.2188802595,14.3999,0.0495167,0.10198,0.0627053,5.47354e-05,7.198493572641919e-10
819.132,598.603,0.916182,0.855993,140625.59999063643,12.8467,0.245833,0.161403,0.158262,9.16675e-07,1.154855712875167e-11
446.4,207.276,0.205354,0.0924168,172617.86279586406,15.4315,0.302174,0.147486,0.154688,2.43277e-06,3.2793987648539287e-11
329444.0,2114.13,0.998,0.997955,6337.416058216613,0.945378,0.0775298,0.0360458,0.0790912,2.95127e-05,3.8256172028256625e-11
277.43,250.882,0.961753,0.998,150526.5549706736,13.6506,0.187058,0.15872,0.106897,2.1423e-06,2.7623063322660075e-11
1909.53,1720.92,0.998,0.998,101792.05881722669,9.64961,0.208518,0.140604,0.0703469,2.43277e-06,2.714798307834546e-11
4521.45,323.809,0.998,0.974151,51821.89341509446,5.36935,0.106793,0.0879576,0.0500835,2.76731e-06,2.2375372098180915e-11
494.425,474.327,0.997833,0.998,130703.471653089,12.037,0.0515776,0.0576062,0.105208,1.95255e-05,2.3971610258020967e-10
426.728,355.5,0.87982,0.901682,117967.0673222753,10.9909,0.109674,0.155792,0.0470958,1.19537e-05,1.4131767535480087e-10
446.92,260.828,0.989431,0.901802,83135.04779389467,8.08048,0.241482,0.137118,0.153579,0.000350144,3.5848707893826477e-09
699.056,545.573,0.998,0.998,106064.07908768622,10.0054,0.122269,0.0532631,0.101834,9.16675e-07,1.0399596837693906e-11
