m1,m2,a1,a2,DL,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt
723.831,575.084,0.998,0.0809063,113837.30952229064,10.6499,0.0372993,0.0947291,0.0855583,1.99125e-06,2.3223451657925598e-11
854.833,265.238,0.998,0.718821,85186.48194576894,8.25437,0.076077,0.0167293,0.0719655,4.75455e-06,4.9207714660089996e-11
443.766,100.749,-0.412991,-0.12353,197639.45142751097,17.4306,0.257089,0.0928613,0.169763,1.88866e-06,2.6527617299121963e-11
977.279,277.222,0.997631,0.816552,117902.79422899269,10.9856,0.294108,0.162813,0.17264,1.2937e-06,1.5291086432012054e-11
413.596,351.473,0.73591,0.964744,88312.90652436603,8.51869,0.325733,0.172839,0.16224,3.60586e-06,3.791219943353074e-11
830.097,834.993,0.998,0.998,78250.53920283631,7.66491,0.262757,0.151906,0.118337,4.75455e-06,4.7362226801731197e-11
10771.3,2784.9,0.998,0.998,24638.030987694718,2.86713,0.204814,0.129604,0.081648,0.000101397,5.027310223204935e-10
723.982,490.627,0.998,0.998,149934.06081711594,13.6026,0.053353,0.157682,0.15372,1.13688e-06,1.4639659798352316e-11
377.558,357.921,0.827847,0.817509,94945.35318985303,9.07683,0.0981527,0.105911,0.15428,2.64567e-07,2.8688732869309534e-12
530.978,307.93,0.998,-0.139031,75973.72155504646,7.47042,0.283759,0.1677,0.133199,5.47354e-05,5.378502025492208e-10
713.849,879.965,0.997472,0.858992,118027.70477576012,10.9959,0.264359,0.110823,0.161163,2.00792e-07,2.374240912643978e-12
303.683,248.925,0.427397,0.917763,151231.58778535985,13.7077,0.150875,0.0407795,0.143716,0.000101397,1.3094735572670825e-09
1279.79,1155.75,0.990389,0.998,113444.30863316687,10.6174,0.174625,0.121117,0.0852963,2.43277e-06,2.8335098082738828e-11
1607.67,380.085,0.998,0.701845,29860.29141692198,3.3661,0.0775409,0.156241,0.157166,2.95127e-05,1.686109591586274e-10
446.427,397.537,0.790552,0.728224,113837.30952229064,10.6499,0.157987,0.0723642,0.112418,1.66585e-06,1.942839269019729e-11
675.205,541.779,0.998,0.998,117967.0673222753,10.9909,0.185152,0.150549,0.0951456,1.99125e-06,2.3540729736420292e-11
788.415,328.868,0.998,0.953064,45518.512877728106,4.80623,0.161517,0.0664101,0.142622,2.95127e-05,2.215504983217966e-10
2589.8,573.563,0.998,0.998,79056.09140545987,7.7336,0.234742,0.156075,0.10764,1.19537e-05,1.1963618728272464e-10
3604.51,841.977,0.998,0.967292,67474.86376604444,6.73959,0.0784962,0.0307147,0.0985025,6.72286e-05,6.241346867248919e-10
658.127,382.082,0.990846,0.944839,131141.0384404024,12.0728,0.185923,0.118716,0.08887,1.66585e-06,2.0476325504748687e-11
501.322,231.282,0.986225,0.671153,80614.25312325264,7.86629,0.0753788,0.0999638,0.0943811,8.25661e-05,8.33715172602289e-10
1774.06,603.443,0.998,0.997877,88225.95788717555,8.51135,0.0689496,0.104724,0.0763422,3.60586e-06,3.7896004914887316e-11
554.312,378.253,0.682257,0.46362,130831.79712106615,12.0475,0.180371,0.157294,0.154659,5.48814e-06,6.740208223680054e-11
1154.33,1060.02,0.998,0.998,51588.248957462216,5.34861,0.149368,0.0958212,0.128962,0.000284992,2.298545337535965e-09
1170.34,396.719,0.998,0.996785,88416.33042430435,8.52742,0.0350604,0.0901303,0.121969,1.66585e-06,1.752372273736211e-11
1529.28,1197.79,0.998,0.998,123336.4741592785,11.4329,0.103175,0.077534,0.100392,6.07727e-07,7.305044021494809e-12
578.774,508.185,0.600292,0.842202,76228.15663698732,7.49218,0.193951,0.130757,0.0698351,1.68415e-05,1.6574840284516436e-10
450.793,276.21,0.998,0.694179,113854.24116263984,10.6513,0.266067,0.115148,0.157947,3.60586e-06,4.205664713224797e-11
456.055,386.553,0.61651,0.997989,184626.53048073838,16.3931,0.20995,0.16776,0.0438362,7.54396e-07,1.0382686360423807e-11
302.216,255.762,0.933917,0.791288,117856.71328645278,10.9818,0.26654,0.172734,0.162735,2.43277e-06,2.8750254906559965e-11
810.658,217.508,0.998,0.991192,117725.7539392754,10.971,0.216555,0.146871,0.0968634,6.35911e-06,7.511982468321912e-11
465.231,277.549,0.486147,0.970086,102156.64038888387,9.68002,0.292176,0.172919,0.161727,3.15477e-06,3.5255989089277876e-11
1161.07,359.488,0.998,0.998,113849.40353115504,10.6509,0.303564,0.168568,0.143927,1.4689e-06,1.7132112975761438e-11
876.149,533.794,0.577175,0.946114,102061.55847425104,9.67209,0.158767,0.0733188,0.0875773,5.48814e-06,6.130935450334789e-11
