m1,m2,a1,a2,Dl_s,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt,Dc_s,Da_s,Dc_l1,z_l1,Da_l1,Da_l1s,z_l2,Dc_l2,Da_l2,Da_l2s,SNR_LISAbeta,Detectable,Average_Detectability,Mean_SNR,Median_SNR
7381.96,6808.12,-0.374581,0.392111,73386.67320528915,7.24879,0.226255,0.140189,0.0914815,1.66283e-05,1.6075995892049086e-10,8896.659171258954,1078.5411158798993,4917.803804996375,1.749702579198345,1788.4857185675314,482.35624595297065,1.1355621346515896,3719.5712773761934,1788.4857185675314,482.35624595297065,44.11319471526362,True,0.98,43.74789267595419,41.66292391924904
47873.9,20521.9,-0.270096,-0.727272,122236.82787214528,11.3425,0.316651,0.165655,0.154963,1.95255e-05,2.339247442624837e-10,9903.733268960525,802.4090151071927,3797.9560069936897,1.170020302654574,1750.1937707049972,494.6953415394869,1.537036051763242,4546.168201467685,1750.1937707049972,494.6953415394869,94.18855879994022,True,1.0,92.85483454039324,88.99199114356703
242238.0,170474.0,0.617717,0.244075,102310.4892127567,9.69285,0.145185,0.0971266,0.0842714,3.06068e-06,3.422531296406174e-11,9568.121615168706,894.8149104465793,1049.4633667261653,0.2522079024927389,838.0903541523766,796.6686384543087,3.0219234592050266,6525.312493451915,838.0903541523766,796.6686384543087,588.8558914356846,True,1.0,558.161934213475,535.3206400971018
217455.0,19019.3,0.429987,0.885069,185153.4663969006,16.4352,0.161136,0.101647,0.127628,2.3915e-06,3.294248383344349e-11,10619.520647706971,609.0851064345103,4626.3766348663885,1.5810243988568975,1792.457537872274,343.7381853115341,1.5514431416462753,4572.639737943323,1792.457537872274,343.7381853115341,103.64600478909668,True,1.0,93.0150633798499,94.6401342122823
76813.2,63177.8,-0.531829,-0.870952,44452.21145136645,4.71018,0.11918,0.0131049,0.107538,1.18574e-05,8.777134340028944e-11,7784.730332733197,1363.3073445553723,2830.4923556423705,0.7867052132177207,1584.1966145508095,867.615028379736,2.475807330811122,5938.314453299136,1584.1966145508095,867.615028379736,261.9713262172811,True,1.0,261.04725741427626,246.3695320446019
302961.0,233999.0,-0.248997,0.274261,102304.85295516068,9.69238,0.199917,0.138772,0.152335,1.23494e-06,1.3809109961314427e-11,9568.01506822248,894.844278656621,3437.962516325785,1.017117679162158,1704.3936220135508,573.3103912326023,1.1928626687976045,3849.077058567732,1704.3936220135508,573.3103912326023,379.39823447098223,True,1.0,383.5440633910484,380.8760096781468
67182.6,61813.4,0.892858,0.905352,150759.89419406292,13.6695,0.0124307,0.0431002,0.0306694,2.21912e-06,2.862845701606317e-11,10277.098346505534,700.5759123695786,4249.916087103137,1.3828492197980322,1783.5438565061274,410.8648733463537,5.193503942364781,8047.852423587585,1783.5438565061274,410.8648733463537,259.70736883742444,True,1.0,253.80956427495065,243.08265492382037
184630.0,105793.0,0.792769,0.241916,73387.72209976877,7.24888,0.122145,0.109483,0.110524,1.01048e-05,9.769238109864872e-11,8896.689259604791,1078.5329959466972,3601.058995229162,1.08472266129803,1727.3563772357372,641.9817327738772,0.8742874026839826,3071.299502449416,1727.3563772357372,641.9817327738772,580.327600256779,True,1.0,542.968054284809,519.4326994491491
6246.01,1629.27,0.52514,0.660386,55964.97271893954,5.73558,0.0709357,0.1568,0.125287,6.72286e-05,5.66908268977932e-10,8308.857250443101,1233.577101072677,5085.758777441431,1.853736657313454,1782.1401885318278,478.5183259583157,0.3412055081850297,1386.709256366471,1782.1401885318278,478.5183259583157,25.245643023837488,True,0.95,24.967857212550477,24.05729014045944
131809.0,29655.8,0.369617,0.460067,88440.38121860824,8.52945,0.060412,0.0372869,0.0331336,1.66283e-05,1.7494016049691542e-10,9280.743507611482,973.9012752689276,7189.181835014448,3.8032717356344015,1496.7260323279734,219.48398496684345,0.8138187448133596,2906.4036256092327,1496.7260323279734,219.48398496684345,204.97886151932647,True,1.0,200.73234626090252,194.23584995037
