m1,m2,a1,a2,Dl_s,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt,Dc_s,Da_s,Dc_l1,z_l1,Da_l1,Da_l1s,z_l2,Dc_l2,Da_l2,Da_l2s,SNR_LISAbeta,Detectable,Average_Detectability,Mean_SNR,Median_SNR
9558.77,5685.52,0.66485,0.091489,46521.20339002543,4.89633,1.02419,0.546005,1.44747,0.000425017,3.231623426369065e-09,7889.857485932001,1338.0963219378834,5460.368140872904,2.106111735844574,1757.9432442707528,412.03415411856713,0.7298527403057251,2667.2156099187782,1757.9432442707528,412.03415411856713,55.585942367128965,True,0.99,55.09318915010196,52.59006608937084
6994.02,3734.79,0.761189,0.359125,143898.86667934732,13.1129,0.652969,0.0800364,0.638221,0.000365193,4.63746656949985e-09,10196.264883854295,722.4783626224445,7277.891511774605,3.924258405458753,1477.9670182626064,206.78764613820377,3.1181163194347667,6616.850893781744,1477.9670182626064,206.78764613820377,27.127497494197684,True,0.96,26.96796759157363,25.631057614559825
306523.0,169183.0,0.287484,-0.304016,156569.23954595518,14.1394,1.82602,1.44884,2.45018,3.02199e-05,3.9478869591968837e-10,10341.839144613074,683.1075963785271,8854.11805772279,7.122994957492653,1090.006593857909,98.2681664446106,0.4855089385850624,1897.51488149558,1090.006593857909,98.2681664446106,294.0997577533075,True,1.0,207.1773146996215,199.5069247336328
40780.9,3354.99,0.203606,0.173696,202712.62777825305,17.8339,0.943167,1.25992,1.16695,9.53155e-05,1.348716733928558e-09,10763.178512058206,571.479009236441,4864.1971852696615,1.717584283374916,1789.89745367531,313.21082320164004,0.6461107460072633,2416.203437068815,1789.89745367531,313.21082320164004,32.29120297268302,True,0.98,31.692617181467057,30.534026088104767
1594.08,1100.0,0.619993,0.626322,160533.9103309844,14.4594,1.03638,1.54704,0.673792,0.000365193,4.8100199053496304e-09,10384.226446756304,671.7095389702255,3295.2258070198845,0.9600707025818764,1681.177014703606,458.5560005163008,3.039003414585168,6541.7968931175255,1681.177014703606,458.5560005163008,8.785902849881026,True,0.53,8.684386631427687,8.365356603665028
25163.7,4285.74,0.475933,0.762548,104075.2625622188,9.83991,0.471708,0.482379,0.317677,0.000633774,7.1359898755427825e-09,9601.118695839614,885.7194105707164,5296.719327222189,1.9922078154011185,1770.1709419191905,397.08810947997296,1.2807877716875458,4039.832185185349,1770.1709419191905,397.08810947997296,49.106490847330086,True,0.99,48.851320258418426,46.49026322367638
75533.5,11009.4,0.675725,-0.09916,18143.05864315345,2.22607,1.22365,1.22506,1.67449,0.000151572,5.85556148620039e-10,5623.888707670153,1743.2630747845376,2721.087798498045,0.7483950462647129,1556.3346537124974,899.7947684920399,1.0845520290255994,3600.655344999679,1556.3346537124974,899.7947684920399,242.20122217905373,True,1.0,241.27951829414687,229.8064904349551
400779.0,9012.8,-0.48965,-0.723422,115656.15143438736,10.8002,1.2217,1.78629,2.93101,0.000365193,4.28506397612048e-09,9801.202643547344,830.5963156173068,8026.607940870257,5.152266369607982,1304.6587159378762,150.38683256782195,0.695243990667638,2565.0262229916507,1304.6587159378762,150.38683256782195,23.21206754868864,True,0.96,22.252876305995624,22.49906548540214
669423.0,279174.0,0.306252,-0.51065,17771.538663086634,2.18851,1.73487,1.12632,1.96466,5.3041e-05,2.0126225160252927e-10,5573.618606523623,1748.0323431708298,2874.9618301183373,0.802534623024899,1594.9551171029332,846.3692401074023,0.8857528842413787,3101.8960406676806,1594.9551171029332,846.3692401074023,2180.3418717757063,True,1.0,1973.798405685308,1897.624988847505
24469.0,9490.37,0.703599,0.449667,115688.84558568562,10.8029,1.45711,1.10526,0.352342,0.000141945,1.665719031698503e-09,9801.730556531498,830.451038010277,5070.308421588819,1.843944283620505,1782.8438007597697,400.869457571656,6.58539647407418,8660.58659569343,1782.8438007597697,400.869457571656,69.62501292477506,True,1.0,69.50563256289493,65.9651304944534
