m1,m2,a1,a2,Dl_s,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt,Dc_s,Da_s,Dc_l1,z_l1,Da_l1,Da_l1s,z_l2,Dc_l2,Da_l2,Da_l2s,SNR_LISAbeta,Detectable,Average_Detectability,Mean_SNR,Median_SNR
57453.6,24894.5,-0.818896,0.29551,131320.7408559787,12.0875,0.959,1.71869,1.06126,8.07473e-06,9.93018632313884e-11,10034.058518126358,766.6902401624724,5992.99612238816,2.5220246258434456,1701.5770051529698,308.7726764629348,0.847891121894633,3000.054449474006,1701.5770051529698,308.7726764629348,114.96971871249544,True,1.0,101.14452452679856,95.92211612499148
326053.0,175142.0,0.51827,0.0794565,164117.7511758914,14.7482,0.215116,0.732945,0.947413,4.96025e-06,6.580046554298431e-11,10421.36569105621,661.7496406609142,5561.975340621144,2.179898271558776,1749.1047968203825,308.56798687290706,1.2842930269798387,4047.244628119801,1749.1047968203825,308.56798687290706,264.4361650904992,True,1.0,229.88807114064028,234.93303041793723
139969.0,102746.0,0.381817,-0.959732,198037.92051247647,17.4623,2.4,1.0474,2.22788,2.33079e-06,3.275701974590956e-11,10726.611555032498,581.0008262801763,3242.494906309315,0.939472632414394,1671.843603161597,405.3729297554149,4.067471789462871,7378.835973550322,1671.843603161597,405.3729297554149,252.9263130746096,True,1.0,217.17789981647792,208.58526494325665
20808.2,6238.65,-0.998,-0.246632,126730.04174155458,11.7115,1.54864,1.94459,1.71478,1.76095e-06,2.1379064920321648e-11,9969.71574885376,784.3067890377818,7020.4214359589405,3.5848706782970097,1531.2147146262053,232.01780290187227,3.373606723219033,6845.562161054208,1531.2147146262053,232.01780290187227,41.44047523959157,True,0.98,40.5755738337697,38.67808148648616
16706.6,1100.24,-0.615935,0.141533,60840.64731008691,6.16312,2.27407,2.828,1.13338,9.0983e-05,8.017142082982413e-10,8493.595990306865,1185.7397321707392,3617.019656285372,1.0914833304711422,1729.404014794888,680.7894216086692,2.554226032607781,6030.493066437901,1729.404014794888,680.7894216086692,26.031807292874483,True,0.96,25.712130721753876,24.84173630881953
21643.9,16054.0,-0.494973,-0.197305,136972.68487847582,12.5491,1.69066,2.19983,2.23501,7.45521e-05,9.306428634610408e-10,10109.356701070612,746.1275436058936,5460.279164392415,2.1060481821911936,1757.9505703270222,343.128143398779,3.456616609347797,6915.714342240856,1757.9505703270222,343.128143398779,66.01518222555909,True,1.0,65.70172052672075,61.98132409524227
106740.0,81859.5,0.552712,-0.857536,211924.0572734821,18.5646,1.94942,1.39703,2.82292,2.38084e-05,3.4121248440834796e-10,10832.015848700314,553.653836454633,6533.129048192563,3.0300093226327016,1621.1200843384215,219.72781430283868,3.8436415918665294,7219.144158272242,1621.1200843384215,219.72781430283868,246.5820038933656,True,1.0,208.6484774227795,200.9660326204352
123628.0,3415.46,-0.190481,0.745239,193821.99060311777,17.1267,1.02808,2.40223,1.45072,0.000300174,4.19196652841975e-09,10692.624173352997,589.8825585105395,2249.236629127943,0.5926825952704902,1412.2315532576915,465.7983834888668,3.476315341557938,6932.081672289197,1412.2315532576915,465.7983834888668,20.3062992789666,True,0.94,19.40475232990005,19.233134426669025
34043.3,6489.42,-0.867269,-0.589489,178802.96222296235,15.9273,0.564702,2.67011,2.62836,6.97899e-05,9.51136266505719e-10,10562.993638853352,624.0211751935246,4863.71723793519,1.7172990158634869,1789.9087303116694,336.6914042695515,2.1644314164721186,5540.952187705376,1789.9087303116694,336.6914042695515,35.0188211701674,True,0.98,33.61624569488308,32.70362322832836
9162.86,1178.12,-0.570479,-0.633704,37986.173653073456,4.12205,1.44587,1.8619,2.31658,0.000159375,1.070680265776233e-09,7416.20516259573,1447.897846095944,5200.32061651364,1.927809930184571,1776.18108014899,432.61673711298135,1.290276830487138,4059.865169550635,1776.18108014899,432.61673711298135,28.438204484544293,True,0.96,28.084433491153,27.18529541297592
159191.0,50867.4,0.972215,0.225107,197966.2678065036,17.4566,0.895915,0.438357,0.572681,6.79729e-06,9.551925333206618e-11,10726.04205576886,581.1494021525557,1207.4833649217844,0.2933435968050125,933.6137459318438,515.726552863406,3.658549407740054,7078.65097474113,933.6137459318438,515.726552863406,335.26829463659305,True,1.0,287.4152802717053,278.2503900951498
61185.2,11340.0,0.0906399,-0.46047,164131.41171962552,14.7493,0.700612,1.40768,1.60003,1.41807e-05,1.8811988162797902e-10,10421.505191953009,661.7122787649615,8711.232551256075,6.720827381040139,1128.2770795548136,108.59356433150693,1.508529786276574,4493.201248138933,1128.2770795548136,108.59356433150693,66.71054424119437,True,1.0,67.21340140236431,65.3424799178635
41408.2,39265.4,-0.62476,0.716739,68680.96683391025,6.8438,2.23897,2.14215,1.3106,0.000300174,2.811052642233646e-09,8756.083382277755,1116.30630335778,4800.073572337227,1.679826919294928,1791.1879002802916,504.3486358131604,1.7742942930684842,4958.277765523796,1791.1879002802916,504.3486358131604,167.4685064697572,True,1.0,168.95857787016865,160.87966074639823
36857.7,1143.42,0.587517,0.860105,109943.47724256491,10.3275,0.442818,0.91466,1.2513,2.00437e-05,2.3063478964402512e-10,9705.890729866687,856.8431454307383,4175.286125818074,1.345936821021747,1779.794782360306,488.2458279466139,1.1428485275530598,3736.2749873929088,1779.794782360306,488.2458279466139,28.170614497486063,True,0.96,27.93728241800316,26.88185696911497
31332.6,19488.6,0.34094,0.787159,178985.3114922997,15.9419,0.889373,1.02304,0.532992,6.79729e-06,9.266644105272207e-11,10564.653993489495,623.5814161038311,3452.435703301192,1.0230103473053602,1706.583318105008,419.8005113018213,0.4571595959543288,1800.6034479273378,1706.583318105008,419.8005113018213,90.45823714478271,True,1.0,90.131150169626,85.8740167739477
51556.0,19337.8,-0.0361762,-0.449427,150779.6489346603,13.6711,2.17729,1.68294,2.26819,1.86487e-05,2.4059399994054053e-10,10277.324054410392,700.5148935260746,3788.101945089865,1.165651058075627,1749.1746577387926,442.31326254468325,2.121301904915778,5481.560133559538,1749.1746577387926,442.31326254468325,93.61596152352472,True,1.0,90.30305507936684,85.7213938268313
435669.0,116846.0,-0.903886,0.912135,164073.04447707752,14.7446,2.31076,2.6046,1.32398,9.52242e-06,1.2630910911498575e-10,10420.90904037432,661.8719459607942,4115.541570098194,1.3169134367011754,1776.3035582349307,400.4780978011317,1.4137941007287205,4311.341829018802,1776.3035582349307,400.4780978011317,133.49642755897884,True,1.0,73.25553781743942,69.92857923477953
35848.0,29877.3,-0.878673,0.403822,156168.1963184413,14.107,0.430521,1.60009,1.33566,9.52242e-06,1.2429458025473606e-10,10337.472451078394,684.2836070085652,6649.877554144668,3.153644267194151,1600.9742556735218,244.0984253706655,0.6675349445928253,2481.644338761846,1600.9742556735218,244.0984253706655,91.06518305094517,True,1.0,96.6968466214742,92.20593933267642
152324.0,1966.13,0.920559,0.788047,82084.19427994163,7.99126,1.61085,0.814156,1.37163,0.000487961,4.96751523989257e-09,9129.33162648412,1015.3562044122984,6048.444555866757,2.5697914400827613,1694.3411556372805,342.65354049490475,2.717589303172999,6213.488157700338,1694.3411556372805,342.65354049490475,75.52249994136051,True,1.0,68.42475133816104,66.82347184783308
