m1,m2,a1,a2,Dl_s,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt,Dc_s,Da_s,Dc_l1,z_l1,Da_l1,Da_l1s,z_l2,Dc_l2,Da_l2,Da_l2s,SNR_LISAbeta,Detectable,Average_Detectability,Mean_SNR,Median_SNR
39942.1,31036.0,0.601836,0.512937,172955.56412050556,15.4586,0.765717,1.27989,1.18002,1.72837e-05,2.3312891569373345e-10,10508.522238860263,638.4821454352293,4950.697001431915,1.7696656060661606,1787.471020012092,337.6851757070936,5.321985365122695,8112.71592037528,1787.471020012092,337.6851757070936,127.41580607072903,True,1.0,126.49948856792952,120.1667008465131
81345.7,39069.6,-0.929789,0.503248,185099.6419242979,16.4309,2.49984,2.11656,1.24002,4.58314e-06,6.312636573279129e-11,10619.05248290667,609.2085023095003,4344.143761825536,1.4305322985955078,1787.3219676003623,359.9876490981363,0.8320178472833704,2956.664419698036,1787.3219676003623,359.9876490981363,151.44235693952817,True,1.0,129.34237635220194,120.15595414487896
319240.0,56943.0,-0.0967522,0.349941,126692.24353187082,11.7084,0.392111,1.58789,1.43385,1.46653e-06,1.7802679876734048e-11,9969.173423237453,784.4554328819877,5859.794366061975,2.410939418712428,1717.9414954625065,323.3592786914649,0.2888655258091352,1190.4602165901624,1717.9414954625065,323.3592786914649,174.5707907116972,True,1.0,155.02963629254785,144.74686270774458
289797.0,238304.0,-0.750903,0.564179,164099.1232850677,14.7467,2.1133,1.67269,1.50807,3.0831e-06,4.089753706565785e-11,10421.175438985165,661.8005956159172,6228.528232446662,2.731492409087429,1669.1788522417032,266.25561053655537,4.056278902749902,7371.0988477864385,1669.1788522417032,266.25561053655537,158.48001433922832,True,1.0,147.44224889070412,146.95975500814382
70519.4,26737.8,-0.452709,-0.160458,164250.6342582214,14.7589,1.67457,2.0901,2.09276,8.70272e-05,1.154764571117251e-09,10422.72203378544,661.3863933260216,9361.964129681945,8.838251840458842,951.58817749371,67.31167119526766,1.2388774404767369,3950.077729350035,951.58817749371,67.31167119526766,97.14654141430071,True,1.0,105.16489432556676,101.11358844612396
191596.0,1100.0,0.23304,0.286089,118095.6215570098,11.0015,2.31765,1.51511,0.813215,3.35799e-06,3.971477084833839e-11,9840.071787444052,819.9034943502106,2707.5647868699507,0.7437208958440377,1552.751245742406,594.3012951871647,4.925547950968816,7905.911467502405,1552.751245742406,594.3012951871647,19.983053881184727,True,0.93,17.28886723787072,17.494971846803665
145944.0,99377.9,-0.337989,0.5365,179036.5213362205,15.946,1.85025,3.07611,1.24608,3.0831e-06,4.20351496582453e-11,10565.119871133042,623.4580355914695,2387.589835503254,0.6368302903231748,1458.6666996901083,482.56402889145073,1.7510688613010954,4920.06534400333,1458.6666996901083,482.56402889145073,272.87092913667044,True,1.0,245.2660392176616,232.9512182992584
35233.5,25307.7,-0.315496,0.48767,150990.7889758013,13.6882,1.95606,1.86785,0.868692,1.37418e-05,1.7737136428642772e-10,10279.734002519115,699.8634279570755,4058.124292144628,1.289450246291422,1772.5322052443075,423.5787713037034,0.6316235290438497,2371.465324694898,1772.5322052443075,423.5787713037034,96.09248136694625,True,1.0,97.92298128197054,94.1460659106064
140222.0,41723.7,0.339474,-0.195918,91601.61522871011,8.79587,1.45925,1.44606,2.65014,3.35799e-06,3.5865407108161406e-11,9351.044392045844,954.590494978582,5004.106212291334,1.802501741141185,1785.5854069485522,443.752130246339,0.6153885287528759,2320.858558462145,1785.5854069485522,443.752130246339,245.91309449725256,True,1.0,233.9408166092263,223.1805756716162
41564.7,12100.2,0.87701,-0.91998,173940.25473293313,15.5376,2.67644,1.31632,2.03383,0.000878331,1.1868329003678194e-08,10517.865635456968,635.9970996672413,6509.480634302256,3.0056181180328725,1625.0876757667124,242.38009130792184,2.9183965733128896,6423.177183387267,1625.0876757667124,242.38009130792184,79.7126332555233,True,1.0,79.19440403705924,76.28102970834763
